name ID ob__vs_WT__p.val ob__vs_WT__p.adj significant ob__vs_WT__significant ob__vs_WT__ratio ob__centered WT__centered
59 Idi1 ENSMUSP00000132780 2.9606268685975e-06 0.0219 TRUE TRUE 2.39 1.2 -1.2
60 Iigp1 ENSMUSP00000157568 3.36348321392139e-07 0.000978 TRUE TRUE -1.45 -0.727 0.727
61 Keg1 ENSMUSP00000025598 9.18005370202361e-08 7.48e-05 TRUE TRUE -2.67 -1.34 1.34
62 Kyat1 ENSMUSP00000109293 4.79172571036245e-06 0.0354 TRUE TRUE -1.25 -0.625 0.625
63 Lgals1 ENSMUSP00000086795 2.14287165117837e-09 4.54e-11 TRUE TRUE 2.66 1.33 -1.33
64 Me1 ENSMUSP00000140887 3.09549680755691e-08 3.67e-06 TRUE TRUE 2.24 1.12 -1.12
65 Mup10 ENSMUSP00000095655 4.99841055376767e-09 3.39e-09 TRUE TRUE -4.36 -2.18 2.18
66 Mup15 ENSMUSP00000144130 1.31307127485442e-06 0.0079 TRUE TRUE -7.96 -3.98 3.98
67 Mup17 ENSMUSP00000103108 2.38410989528873e-06 0.0172 TRUE TRUE -4.53 -2.27 2.27
68 Mup20 ENSMUSP00000073667 3.77714026397061e-09 9.04e-10 TRUE TRUE -7.76 -3.88 3.88
69 Mup3 ENSMUSP00000103112 2.89312215641839e-11 7.01e-14 TRUE TRUE -6.33 -3.17 3.17
70 Mup7 ENSMUSP00000078636 9.51365930202878e-10 3.92e-13 TRUE TRUE -5.48 -2.74 2.74
71 Mup9 ENSMUSP00000144443 2.29386257677374e-10 7.01e-14 TRUE TRUE -5.67 -2.84 2.84
72 Mvp ENSMUSP00000127250 3.6989299848588e-06 0.0274 TRUE TRUE 1.05 0.524 -0.524
73 Naga ENSMUSP00000023088 8.1662168749905e-07 0.00382 TRUE TRUE -1.65 -0.825 0.825
74 Nnt ENSMUSP00000070564 1.26090140500587e-11 7.01e-14 TRUE TRUE 10.4 5.18 -5.18
75 Nqo1 ENSMUSP00000003947 2.05149454130751e-09 3.66e-11 TRUE TRUE 3.03 1.52 -1.52
76 Nudt12 ENSMUSP00000025065 1.02646514986736e-06 0.00549 TRUE TRUE 1.17 0.586 -0.586
77 Pdia5 ENSMUSP00000023550 2.68825212551602e-07 0.000684 TRUE TRUE -1.1 -0.548 0.548
78 Pgd ENSMUSP00000081141 1.04685283288532e-07 9.8e-05 TRUE TRUE 2.47 1.24 -1.24
79 Plin2 ENSMUSP00000000466 5.74922755725376e-06 0.0424 TRUE TRUE 3.53 1.76 -1.76
80 Plin4 ENSMUSP00000158677 7.23119641570898e-07 0.00325 TRUE TRUE 5.23 2.61 -2.61
81 Rab18 ENSMUSP00000157011 4.90825480881041e-06 0.0363 TRUE TRUE 1.4 0.699 -0.699
82 Rhog ENSMUSP00000102536 1.57212441362958e-08 3.82e-07 TRUE TRUE -2.7 -1.35 1.35
83 Scpep1 ENSMUSP00000000287 2.3284122334737e-06 0.0167 TRUE TRUE -2.57 -1.28 1.28
84 Sdf2l1 ENSMUSP00000023453 5.64667544273919e-06 0.0417 TRUE TRUE -2.03 -1.02 1.02
85 Selenbp2 ENSMUSP00000088358 4.58154388239126e-07 0.00161 TRUE TRUE -1.58 -0.792 0.792
86 Serpina1a ENSMUSP00000082132 5.38125672050185e-06 0.0398 TRUE TRUE -1.35 -0.673 0.673
87 Serpina1e ENSMUSP00000113606 2.52715639751561e-11 7.01e-14 TRUE TRUE -6.3 -3.15 3.15
88 Slco1a1 ENSMUSP00000037022 4.52949339883673e-06 0.0334 TRUE TRUE -5.55 -2.78 2.78
89 Sprr1a ENSMUSP00000053751 7.7531907590518e-07 0.00357 TRUE TRUE 5.44 2.72 -2.72
90 Sult2a8 ENSMUSP00000128428 3.35405674695856e-07 0.000973 TRUE TRUE -4.07 -2.03 2.03
91 Syap1 ENSMUSP00000033723 2.84963944606862e-07 0.000748 TRUE TRUE 1.14 0.571 -0.571
92 Tgm2 ENSMUSP00000099411 3.0056588689464e-07 0.00081 TRUE TRUE 1.39 0.696 -0.696
93 Thrsp ENSMUSP00000042988 5.06279496089362e-08 1.62e-05 TRUE TRUE 4.6 2.3 -2.3
94 Tkfc ENSMUSP00000158068 2.94657762052348e-07 0.000786 TRUE TRUE 1.32 0.659 -0.659
95 Tmem120a ENSMUSP00000045252 2.41558451511731e-08 1.64e-06 TRUE TRUE 2.72 1.36 -1.36
96 Tubb2a ENSMUSP00000060246 1.09655209935327e-09 8.66e-13 TRUE TRUE 2.01 1 -1
97 Tymp ENSMUSP00000023285 3.72582223029669e-07 0.00115 TRUE TRUE 5.45 2.73 -2.73
98 Ugt1a5 ENSMUSP00000095263 1.23713823645909e-07 0.000145 TRUE TRUE 2.53 1.27 -1.27
99 Ugt2b1 ENSMUSP00000031183 1.81178152136777e-10 7.01e-14 TRUE TRUE -2.49 -1.24 1.24
100 Ugt2b5 ENSMUSP00000068282 7.86150892287566e-07 0.00363 TRUE TRUE -1.15 -0.575 0.575
101 1110004F10Rik ENSMUSP00000146007 0.373125804969657 0.92 FALSE FALSE -0.159 -0.0794 0.0794
102 1300017J02Rik ENSMUSP00000035163 0.0878927152522643 0.886 FALSE FALSE -0.336 -0.168 0.168
103 1600014C10Rik ENSMUSP00000137538 0.46606529685807 0.924 FALSE FALSE 0.563 0.282 -0.282
104 2200002D01Rik ENSMUSP00000032808 0.000981743618019346 0.61 FALSE FALSE 0.63 0.315 -0.315
105 3110040N11Rik ENSMUSP00000026092 0.112065483989692 0.893 FALSE FALSE 0.158 0.0788 -0.0788
106 43891 ENSMUSP00000139716 0.00603208253269211 0.771 FALSE FALSE 0.614 0.307 -0.307
107 43892 ENSMUSP00000066715 0.0260368912166856 0.846 FALSE FALSE 0.583 0.291 -0.291
108 44076 ENSMUSP00000136366 0.607068375192989 0.929 FALSE FALSE 0.14 0.0698 -0.0698
109 44081 ENSMUSP00000127641 0.109621577272444 0.892 FALSE FALSE -0.191 -0.0954 0.0954
110 44083 ENSMUSP00000101961 0.164783599886446 0.902 FALSE FALSE 0.126 0.0631 -0.0631
111 44084 ENSMUSP00000129023 0.343358246967363 0.918 FALSE FALSE 0.198 0.0988 -0.0988
112 44085 ENSMUSP00000144136 0.932542223184939 0.938 FALSE FALSE -0.0316 -0.0158 0.0158
113 4931406C07Rik ENSMUSP00000136717 0.00181799374857631 0.676 FALSE FALSE 0.795 0.398 -0.398
114 A1cf ENSMUSP00000153542 0.0793343845699877 0.883 FALSE FALSE -0.226 -0.113 0.113
115 A230050P20Rik ENSMUSP00000045384 0.0475276722966 0.868 FALSE FALSE 0.332 0.166 -0.166
116 Aadac ENSMUSP00000029325 0.324767464994614 0.917 FALSE FALSE -0.111 -0.0556 0.0556
117 Aadat ENSMUSP00000078436 1.44116866621087e-05 0.0908 FALSE FALSE -0.925 -0.462 0.462
118 Aak1 ENSMUSP00000003710 0.754981469567139 0.934 FALSE FALSE -0.0808 -0.0404 0.0404
119 Aars ENSMUSP00000034441 0.102243515188425 0.89 FALSE FALSE 0.187 0.0933 -0.0933
120 Aarsd1 ENSMUSP00000067912 0.486029601209092 0.925 FALSE FALSE 0.187 0.0933 -0.0933
121 Aass ENSMUSP00000031707 0.488672094748964 0.925 FALSE FALSE 0.105 0.0524 -0.0524
122 Abat ENSMUSP00000063548 0.531491582312462 0.927 FALSE FALSE 0.117 0.0586 -0.0586
123 Abca6 ENSMUSP00000035458 0.12158967058402 0.895 FALSE FALSE -0.671 -0.336 0.336
124 Abcb11 ENSMUSP00000099771 0.0122567136938627 0.812 FALSE FALSE -0.292 -0.146 0.146
125 Abcb4 ENSMUSP00000003717 0.235051871798975 0.91 FALSE FALSE 0.175 0.0874 -0.0874
126 Abcb7 ENSMUSP00000033695 0.861438859169326 0.936 FALSE FALSE -0.0774 -0.0387 0.0387
127 Abcc2 ENSMUSP00000026208 0.670255129460849 0.931 FALSE FALSE -0.0827 -0.0413 0.0413
128 Abcc3 ENSMUSP00000021231 0.60605508369348 0.929 FALSE FALSE 0.142 0.0712 -0.0712
129 Abcc6 ENSMUSP00000002850 0.0550344839281592 0.872 FALSE FALSE -1.29 -0.643 0.643
130 Abcd1 ENSMUSP00000002084 0.0319048182653254 0.854 FALSE FALSE 2.09 1.04 -1.04
131 Abcd3 ENSMUSP00000029770 0.000220568572210834 0.408 FALSE FALSE 1.17 0.587 -0.587
132 Abce1 ENSMUSP00000079379 0.942663945886077 0.938 FALSE FALSE -0.0173 -0.00864 0.00864
133 Abcf1 ENSMUSP00000036881 0.00218485684321862 0.693 FALSE FALSE -0.438 -0.219 0.219
134 Abcf2 ENSMUSP00000030795 0.807024809581163 0.935 FALSE FALSE -0.0721 -0.036 0.036
135 Abcg2 ENSMUSP00000138608 0.340764509336887 0.918 FALSE FALSE 0.183 0.0915 -0.0915
136 Abhd11 ENSMUSP00000043041 0.0107988988195677 0.805 FALSE FALSE -0.524 -0.262 0.262
137 Abhd14b ENSMUSP00000150948 0.00288758652247737 0.717 FALSE FALSE 0.578 0.289 -0.289
138 Abhd3 ENSMUSP00000113137 0.0067438565607146 0.778 FALSE FALSE 1.84 0.922 -0.922
139 Abhd6 ENSMUSP00000153068 0.653494989910466 0.931 FALSE FALSE -0.322 -0.161 0.161
140 Ablim1 ENSMUSP00000107151 0.0144929672798338 0.82 FALSE FALSE 2.45 1.22 -1.22
141 Abracl ENSMUSP00000151794 0.0349614911703018 0.857 FALSE FALSE 1.29 0.647 -0.647
142 Abraxas2 ENSMUSP00000081541 0.174014387994838 0.903 FALSE FALSE 0.72 0.36 -0.36
143 Acaa1a ENSMUSP00000042351 3.8720313891342e-05 0.167 FALSE FALSE 1.3 0.652 -0.652
144 Acaa2 ENSMUSP00000037348 0.00277529081616743 0.714 FALSE FALSE -0.421 -0.21 0.21
145 Acaca ENSMUSP00000099490 9.65468802099315e-05 0.284 FALSE FALSE 0.97 0.485 -0.485
146 Acacb ENSMUSP00000099642 2.83046788711776e-05 0.142 FALSE FALSE 4.61 2.3 -2.3
147 Acad10 ENSMUSP00000107400 0.438549610461564 0.923 FALSE FALSE 0.0955 0.0478 -0.0478
148 Acad11 ENSMUSP00000043424 1.79093046552281e-05 0.106 FALSE FALSE 1.08 0.538 -0.538
149 Acad12 ENSMUSP00000046497 0.0120286978553213 0.811 FALSE FALSE 1.41 0.706 -0.706
150 Acad8 ENSMUSP00000054370 0.0053208729844003 0.763 FALSE FALSE -0.565 -0.282 0.282
151 Acad9 ENSMUSP00000011492 0.0105401739866937 0.804 FALSE FALSE 0.564 0.282 -0.282
152 Acadl ENSMUSP00000027153 0.378404012674913 0.92 FALSE FALSE -0.069 -0.0345 0.0345
153 Acadm ENSMUSP00000072483 0.0643261674471819 0.877 FALSE FALSE 0.209 0.105 -0.105
154 Acads ENSMUSP00000031524 0.353177978360005 0.919 FALSE FALSE 0.0919 0.046 -0.046
155 Acadsb ENSMUSP00000015829 2.97721477738357e-05 0.146 FALSE FALSE -0.982 -0.491 0.491
156 Acadvl ENSMUSP00000018718 0.00371005648619898 0.737 FALSE FALSE -0.303 -0.152 0.152
157 Acat1 ENSMUSP00000034547 0.057137845100793 0.874 FALSE FALSE 0.247 0.123 -0.123
158 Acat2 ENSMUSP00000125066 0.03463752639705 0.857 FALSE FALSE 2.28 1.14 -1.14
159 Acat3 ENSMUSP00000125454 0.000101258655735775 0.291 FALSE FALSE 0.513 0.256 -0.256
160 Acbd3 ENSMUSP00000027780 0.0143961048129888 0.82 FALSE FALSE 0.34 0.17 -0.17
161 Acbd5 ENSMUSP00000154023 0.00790468891963547 0.788 FALSE FALSE 0.331 0.166 -0.166
162 Acin1 ENSMUSP00000119080 0.0441651101905047 0.865 FALSE FALSE -0.425 -0.212 0.212
163 Acmsd ENSMUSP00000048482 5.5379461140526e-05 0.206 FALSE FALSE -2.98 -1.49 1.49
164 Acnat1 ENSMUSP00000103325 0.00104719978029282 0.618 FALSE FALSE 0.562 0.281 -0.281
165 Aco1 ENSMUSP00000100038 0.0344372392357534 0.856 FALSE FALSE 0.252 0.126 -0.126
166 Aco2 ENSMUSP00000023116 0.0173615312135376 0.829 FALSE FALSE 0.366 0.183 -0.183
167 Aco2.1 ENSMUSP00000154939 0.0244635155946402 0.843 FALSE FALSE 0.534 0.267 -0.267
168 Acot1 ENSMUSP00000126448 0.0519301640957323 0.87 FALSE FALSE 0.54 0.27 -0.27
169 Acot12 ENSMUSP00000022120 0.00115518036330642 0.629 FALSE FALSE 0.437 0.219 -0.219
170 Acot13 ENSMUSP00000006900 3.93237643338302e-05 0.168 FALSE FALSE 0.559 0.279 -0.279
171 Acot7 ENSMUSP00000101277 0.277115524403918 0.914 FALSE FALSE 0.26 0.13 -0.13
172 Acot8 ENSMUSP00000017451 0.00675359375802332 0.778 FALSE FALSE 2.3 1.15 -1.15
173 Acox1 ENSMUSP00000072717 0.00143234067316505 0.652 FALSE FALSE 0.922 0.461 -0.461
174 Acox2 ENSMUSP00000126464 1.19142444192388e-05 0.0786 FALSE FALSE 0.962 0.481 -0.481
175 Acp1 ENSMUSP00000106509 0.493303043883109 0.925 FALSE FALSE -0.145 -0.0723 0.0723
176 Acp6 ENSMUSP00000088263 0.196142926575403 0.906 FALSE FALSE -0.216 -0.108 0.108
177 Acsf2 ENSMUSP00000099453 0.719155513793105 0.933 FALSE FALSE -0.0581 -0.029 0.029
178 Acsf3 ENSMUSP00000148762 0.0349112370933801 0.857 FALSE FALSE 0.26 0.13 -0.13
179 Acsl1 ENSMUSP00000106001 0.00178712995626086 0.674 FALSE FALSE -0.518 -0.259 0.259
180 Acsm1 ENSMUSP00000036140 0.0471624687628747 0.867 FALSE FALSE -1.07 -0.533 0.533
181 Acsm3 ENSMUSP00000102138 0.082500363914122 0.884 FALSE FALSE -0.239 -0.119 0.119
182 Acsm5 ENSMUSP00000146938 2.34970532231345e-05 0.127 FALSE FALSE -0.65 -0.325 0.325
183 Acss2 ENSMUSP00000029135 6.99053571561143e-06 0.0508 FALSE FALSE 1.53 0.764 -0.764
184 Acta1 ENSMUSP00000034453 0.753515771140088 0.934 FALSE FALSE -0.0388 -0.0194 0.0194
185 Acta2 ENSMUSP00000048218 0.99392133618985 0.939 FALSE FALSE 0.00589 0.00295 -0.00295
186 Actb ENSMUSP00000130611 0.568860642124211 0.928 FALSE FALSE -0.612 -0.306 0.306
187 Actc1 ENSMUSP00000087736 0.282264675686895 0.914 FALSE FALSE -1.14 -0.571 0.571
188 Actg1 ENSMUSP00000101822 0.137399940706962 0.898 FALSE FALSE -0.162 -0.0809 0.0809
189 Actn1 ENSMUSP00000127176 0.127202950983108 0.896 FALSE FALSE 0.51 0.255 -0.255
190 Actn2 ENSMUSP00000129609 0.716442225153952 0.933 FALSE FALSE 0.362 0.181 -0.181
191 Actn3 ENSMUSP00000006626 0.971973304229198 0.939 FALSE FALSE 0.032 0.016 -0.016
192 Actn4 ENSMUSP00000066068 0.834976729195543 0.936 FALSE FALSE -0.0351 -0.0176 0.0176
193 Actr10 ENSMUSP00000021479 0.00202824974778502 0.686 FALSE FALSE 1.16 0.581 -0.581
194 Actr1a ENSMUSP00000039844 0.00229470329552816 0.697 FALSE FALSE 0.623 0.311 -0.311
195 Actr1b ENSMUSP00000047326 0.00171872720214748 0.67 FALSE FALSE 0.796 0.398 -0.398
196 Actr2 ENSMUSP00000000137 0.0991036435910053 0.889 FALSE FALSE -0.354 -0.177 0.177
197 Actr3 ENSMUSP00000137503 0.0286481300183117 0.85 FALSE FALSE -0.278 -0.139 0.139
198 Acy1 ENSMUSP00000149789 0.113645370680973 0.893 FALSE FALSE -0.379 -0.189 0.189
199 Acy3 ENSMUSP00000158512 0.935140336673183 0.938 FALSE FALSE 0.00943 0.00472 -0.00472
200 Acyp1 ENSMUSP00000113161 0.356590337963673 0.919 FALSE FALSE -0.16 -0.0801 0.0801
201 Acyp2 ENSMUSP00000074195 0.0349560881156562 0.857 FALSE FALSE 1.62 0.812 -0.812
202 Add1 ENSMUSP00000121402 0.155983286321015 0.901 FALSE FALSE -0.221 -0.111 0.111
203 Adh1 ENSMUSP00000004232 0.0063674460050483 0.775 FALSE FALSE 0.402 0.201 -0.201
204 Adh4 ENSMUSP00000013458 0.0554298372975919 0.873 FALSE FALSE -1.55 -0.776 0.776
205 Adh5 ENSMUSP00000005964 0.626351934802433 0.93 FALSE FALSE -0.0669 -0.0334 0.0334
206 Adhfe1 ENSMUSP00000140592 0.791103045610576 0.935 FALSE FALSE -0.108 -0.0539 0.0539
207 Adi1 ENSMUSP00000020957 6.70302785199918e-05 0.232 FALSE FALSE 0.825 0.413 -0.413
208 Adk ENSMUSP00000047665 0.0473698508937968 0.868 FALSE FALSE 0.265 0.133 -0.133
209 Adprhl2 ENSMUSP00000099677 0.931711035254816 0.938 FALSE FALSE -0.0513 -0.0256 0.0256
210 Adsl ENSMUSP00000127593 0.0154694633754241 0.823 FALSE FALSE -1.61 -0.807 0.807
211 Adss ENSMUSP00000016105 0.0895127016602394 0.887 FALSE FALSE 0.197 0.0985 -0.0985
212 Adssl1 ENSMUSP00000021726 0.353457868487466 0.919 FALSE FALSE -0.226 -0.113 0.113
213 Afdn ENSMUSP00000128891 0.123589416929056 0.895 FALSE FALSE -0.319 -0.159 0.159
214 Afg1l ENSMUSP00000120389 0.542796379281146 0.927 FALSE FALSE -0.299 -0.149 0.149
215 Afg3l1 ENSMUSP00000001520 0.0332480203473128 0.855 FALSE FALSE -0.359 -0.18 0.18
216 Afg3l2 ENSMUSP00000025408 0.727951210987999 0.933 FALSE FALSE -0.0484 -0.0242 0.0242
217 Afmid ENSMUSP00000073102 0.0817905453802833 0.884 FALSE FALSE -0.249 -0.124 0.124
218 Agfg1 ENSMUSP00000139503 0.51030774547554 0.926 FALSE FALSE -0.105 -0.0525 0.0525
219 Agfg2 ENSMUSP00000117351 0.169401887827272 0.903 FALSE FALSE -0.225 -0.112 0.112
220 Agl ENSMUSP00000124149 0.0636553264806998 0.877 FALSE FALSE 0.507 0.254 -0.254
221 Agmat ENSMUSP00000040853 0.936834382952642 0.938 FALSE FALSE 0.00757 0.00379 -0.00379
222 Agpat2 ENSMUSP00000028286 0.551972936206548 0.928 FALSE FALSE -0.581 -0.291 0.291
223 Agpat3 ENSMUSP00000132954 0.0479995389014082 0.868 FALSE FALSE 0.282 0.141 -0.141
224 Agxt ENSMUSP00000027491 0.0600083420886156 0.875 FALSE FALSE -0.333 -0.167 0.167
225 Agxt2 ENSMUSP00000106171 0.000311924793016431 0.459 FALSE FALSE 0.515 0.258 -0.258
226 Ahctf1 ENSMUSP00000027768 0.969780200848687 0.939 FALSE FALSE 0.0149 0.00744 -0.00744
227 Ahcyl1 ENSMUSP00000029490 0.738081478142454 0.933 FALSE FALSE 0.0611 0.0305 -0.0305
228 Ahnak ENSMUSP00000090633 0.0388077488950762 0.861 FALSE FALSE 0.417 0.208 -0.208
229 Ahnak2 ENSMUSP00000116582 0.38370293767196 0.92 FALSE FALSE 0.464 0.232 -0.232
230 Ahsa1 ENSMUSP00000021425 0.00218392326763599 0.693 FALSE FALSE -0.761 -0.38 0.38
231 Ahsg ENSMUSP00000023583 0.141727956850253 0.899 FALSE FALSE -0.473 -0.237 0.237
232 Aifm1 ENSMUSP00000110595 0.00207144763595718 0.688 FALSE FALSE -0.433 -0.216 0.216
233 Aimp1 ENSMUSP00000029663 0.26473112515619 0.913 FALSE FALSE -0.165 -0.0826 0.0826
234 Aimp2 ENSMUSP00000031613 0.55814738021312 0.928 FALSE FALSE 0.0966 0.0483 -0.0483
235 Ak1 ENSMUSP00000108903 0.976078634121394 0.939 FALSE FALSE 0.0266 0.0133 -0.0133
236 Ak2 ENSMUSP00000099664 0.574186604289834 0.928 FALSE FALSE 0.0542 0.0271 -0.0271
237 Ak3 ENSMUSP00000025696 0.0569907053154099 0.873 FALSE FALSE -0.28 -0.14 0.14
238 Ak4 ENSMUSP00000102559 0.174391187021918 0.903 FALSE FALSE 0.184 0.0919 -0.0919
239 Akap1 ENSMUSP00000122295 0.0230342656484357 0.841 FALSE FALSE 0.23 0.115 -0.115
240 Akap2 ENSMUSP00000099967 0.0084716603928863 0.792 FALSE FALSE 1.3 0.648 -0.648
241 Akap8 ENSMUSP00000002699 0.175400216813596 0.904 FALSE FALSE -0.792 -0.396 0.396
242 Akr1a1 ENSMUSP00000030455 0.00255020661043736 0.706 FALSE FALSE 0.288 0.144 -0.144
243 Akr1b3 ENSMUSP00000100045 0.666955974790137 0.931 FALSE FALSE 0.0809 0.0404 -0.0404
244 Akr1b7 ENSMUSP00000007449 0.243647887944189 0.911 FALSE FALSE -0.744 -0.372 0.372
245 Akr1b8 ENSMUSP00000040244 0.297345005935524 0.915 FALSE FALSE -0.489 -0.245 0.245
246 Akr1c12 ENSMUSP00000021632 0.0297623908205856 0.851 FALSE FALSE -0.28 -0.14 0.14
